index,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0.0,2014-12-03,21.9,39.4,1.6,11.2,11.5,NNW,57.0,NE,N,20.0,33.0,50.0,26.0,1008.5,1004.1,2.0,6.0,29.8,35.4,Yes,Yes
1.0,2015-01-08,20.5,37.5,0.0,9.2,8.4,WNW,59.0,ENE,N,17.0,20.0,47.0,22.0,1012.9,1006.5,4.0,7.0,27.3,35.7,No,Yes
2.0,2009-08-16,5.1,17.2,0.2,,,W,50.0,WNW,W,28.0,22.0,68.0,51.0,,,,,10.1,16.1,No,No
3.0,2016-08-31,11.9,16.8,1.0,,,SW,28.0,WNW,SW,11.0,13.0,80.0,79.0,1018.5,1017.7,,,14.3,15.2,No,No
4.0,2011-08-28,7.5,21.3,0.0,,,NE,15.0,SW,NNE,2.0,7.0,88.0,52.0,,,,,13.7,21.1,No,No
5.0,2014-02-04,21.7,39.8,0.0,,12.8,E,54.0,ENE,NW,26.0,9.0,32.0,18.0,1011.2,1007.2,0.0,1.0,28.4,37.8,No,No
6.0,2010-09-16,17.7,20.4,0.0,2.4,8.9,NW,72.0,WNW,W,43.0,33.0,76.0,71.0,1010.3,1011.7,5.0,3.0,19.4,19.4,No,No
7.0,2014-12-06,20.5,26.7,1.8,5.6,6.6,ENE,30.0,NE,E,17.0,17.0,70.0,61.0,1007.7,1004.1,6.0,7.0,23.4,25.5,Yes,Yes
8.0,2016-06-19,8.6,18.6,0.0,,,,,SSE,,7.0,,92.0,,1008.2,1004.5,7.0,,13.2,,No,Yes
9.0,2014-08-28,11.1,24.3,0.0,4.2,5.9,NNW,33.0,NNE,NW,9.0,17.0,68.0,45.0,1017.1,1014.7,7.0,7.0,15.4,22.2,No,No
10.0,2014-04-21,13.2,25.3,0.0,4.0,9.7,W,35.0,W,ESE,20.0,15.0,48.0,31.0,1021.1,1018.5,1.0,3.0,15.9,24.4,No,No
11.0,2012-10-23,9.9,21.4,0.4,4.8,,SSW,33.0,SSW,ESE,13.0,11.0,55.0,32.0,1027.8,1025.6,,,15.6,20.0,No,No
12.0,2015-04-10,10.5,24.4,0.0,7.0,,ESE,24.0,E,SSW,13.0,7.0,53.0,23.0,1022.1,1019.3,6.0,7.0,16.3,23.4,No,No
13.0,2013-11-10,10.6,32.8,0.0,,,N,44.0,NE,N,15.0,22.0,38.0,20.0,1016.3,1013.4,,,24.2,31.2,No,No
14.0,2009-07-07,8.6,18.5,3.2,1.8,2.0,WNW,26.0,NNE,WNW,4.0,7.0,88.0,49.0,1017.6,1016.4,6.0,7.0,11.7,17.5,Yes,Yes
15.0,2015-08-25,21.8,28.7,0.2,3.4,6.7,E,33.0,SSE,E,13.0,24.0,80.0,56.0,1019.6,1016.9,7.0,6.0,24.2,27.6,No,No
16.0,2009-04-10,6.9,24.5,0.2,3.8,6.6,S,37.0,NNW,S,9.0,26.0,96.0,57.0,1019.4,1018.0,6.0,6.0,11.6,21.7,No,Yes
17.0,2009-08-10,2.3,20.2,0.0,,,NNE,46.0,NE,N,26.0,19.0,75.0,54.0,,,,,9.7,19.6,No,Yes
18.0,2010-05-17,2.6,16.2,0.0,,,WSW,15.0,W,WSW,7.0,7.0,90.0,53.0,1021.6,1018.2,,,5.0,15.8,No,No
19.0,2015-03-30,11.8,26.2,0.0,8.0,,W,26.0,NE,WSW,2.0,15.0,68.0,45.0,1025.2,1023.6,,,16.4,24.8,No,No
20.0,2014-03-08,14.1,27.9,0.0,3.6,10.0,S,31.0,SW,S,9.0,20.0,81.0,49.0,1022.1,1019.1,7.0,5.0,18.2,26.4,No,No
21.0,2009-09-06,13.7,23.5,0.0,,,SE,24.0,SSE,E,11.0,15.0,66.0,68.0,1018.2,1015.3,,,20.7,22.1,No,No
22.0,2014-12-30,22.2,33.5,46.6,,,ENE,48.0,E,ENE,11.0,11.0,86.0,92.0,1009.3,1004.5,6.0,5.0,26.6,33.0,Yes,Yes
23.0,2013-06-06,9.7,15.4,0.0,1.2,2.2,WNW,54.0,WNW,WNW,19.0,24.0,85.0,71.0,1017.7,1016.0,7.0,7.0,11.9,14.7,No,Yes
24.0,2016-09-19,13.1,21.4,13.4,1.0,10.1,W,59.0,W,W,30.0,28.0,53.0,38.0,1008.5,1008.7,1.0,1.0,17.7,20.6,Yes,No
25.0,2013-08-20,5.3,13.5,0.6,3.4,6.7,WSW,52.0,W,WSW,31.0,30.0,64.0,61.0,1016.0,1014.6,4.0,7.0,8.0,12.0,No,No
26.0,2015-10-16,8.5,19.5,1.8,2.4,12.3,,,NW,,4.0,,75.0,,1022.5,1020.5,2.0,,16.5,,Yes,No
27.0,2012-06-28,-1.5,14.5,0.2,0.4,3.8,NNE,17.0,,NE,0.0,11.0,93.0,50.0,1027.3,1020.9,8.0,7.0,2.8,13.1,No,No
28.0,2010-02-06,13.6,28.4,0.0,,13.0,W,30.0,,WSW,0.0,19.0,55.0,31.0,1021.6,1018.5,,,17.3,26.4,No,No
29.0,2017-01-23,21.4,39.7,7.0,24.6,,N,50.0,ENE,WNW,19.0,28.0,44.0,24.0,1009.6,1004.5,,7.0,27.5,38.6,Yes,No
30.0,2012-06-12,8.3,20.1,0.0,4.0,7.6,N,44.0,NNE,NNW,26.0,28.0,55.0,27.0,1018.0,1015.1,7.0,0.0,11.2,19.5,No,No
31.0,2013-11-19,14.6,23.2,8.4,0.0,8.5,S,52.0,SW,SSW,19.0,24.0,85.0,77.0,1010.6,1010.4,7.0,5.0,19.1,21.4,Yes,No
32.0,2015-01-03,23.8,37.5,0.0,,,NNE,78.0,NNE,N,46.0,50.0,35.0,21.0,1012.0,1006.2,,,27.6,35.5,No,Yes
33.0,2010-09-05,7.3,16.7,1.6,3.2,,W,46.0,W,WNW,19.0,20.0,78.0,47.0,1017.4,1016.6,1.0,3.0,11.2,16.5,Yes,No
34.0,2010-11-08,14.0,23.8,0.0,4.4,8.5,SSW,31.0,W,SSW,9.0,17.0,55.0,40.0,1013.1,1014.2,7.0,5.0,16.8,21.7,No,No
35.0,2011-10-18,4.0,24.4,0.0,4.4,12.3,N,67.0,N,N,15.0,33.0,60.0,28.0,1031.2,1028.2,0.0,0.0,15.5,23.8,No,No
36.0,2011-11-23,17.6,35.6,0.0,,13.2,NNE,54.0,NE,NNE,31.0,24.0,19.0,12.0,1015.7,1013.0,0.0,0.0,29.5,34.8,No,No
37.0,2014-11-09,22.0,32.1,0.0,9.4,11.5,E,44.0,SE,E,22.0,31.0,60.0,41.0,1016.7,1013.1,3.0,1.0,27.6,30.6,No,No
38.0,2016-07-10,10.0,17.8,,,,NNE,19.0,,NE,0.0,13.0,98.0,70.0,,,,,13.3,17.2,No,No
39.0,2010-12-30,11.3,21.4,0.0,8.8,11.0,ESE,37.0,E,ESE,11.0,24.0,64.0,61.0,1018.0,1016.5,5.0,4.0,18.3,19.6,No,No
40.0,2013-03-16,16.9,25.3,0.0,,,SE,52.0,ESE,ESE,19.0,20.0,71.0,57.0,1022.1,1019.4,,,19.4,24.5,No,No
41.0,2016-06-10,13.9,21.5,0.0,,,NW,22.0,WNW,NW,7.0,9.0,67.0,54.0,1017.6,1017.1,,,16.7,20.2,No,No
42.0,2016-10-07,15.2,30.0,0.0,,,WNW,26.0,WNW,NE,9.0,15.0,50.0,48.0,1021.2,1015.9,,,22.0,25.6,No,No
43.0,2009-03-04,11.4,18.6,2.6,10.0,4.4,W,63.0,NW,W,15.0,44.0,49.0,45.0,1012.5,1012.3,1.0,7.0,14.4,16.7,Yes,No
44.0,2012-06-23,9.2,15.8,0.0,,,WSW,44.0,WSW,WNW,17.0,15.0,55.0,40.0,1021.6,1021.0,,,11.7,15.5,No,No
45.0,2014-12-12,8.2,19.4,0.2,3.6,11.7,SE,35.0,NNE,SE,6.0,24.0,58.0,52.0,1023.9,1022.6,3.0,1.0,15.9,17.9,No,No
46.0,2015-09-08,13.1,18.5,0.0,5.0,4.6,NE,31.0,E,ENE,17.0,15.0,57.0,51.0,1025.2,1022.8,7.0,4.0,16.0,17.9,No,Yes
47.0,2014-02-22,9.8,21.7,0.0,,,S,48.0,S,SSE,22.0,30.0,85.0,43.0,1023.1,1022.6,8.0,,11.6,20.1,No,No
48.0,2014-07-02,2.4,11.7,0.0,,,W,31.0,NNW,NW,9.0,17.0,98.0,75.0,1030.8,1028.3,8.0,8.0,7.2,10.7,No,No
49.0,2016-07-19,15.0,24.6,0.0,,,N,20.0,NNW,N,11.0,15.0,78.0,66.0,1021.7,1019.3,,,18.6,22.2,No,Yes
50.0,2014-05-18,,29.1,,,,ESE,24.0,ESE,SSE,9.0,4.0,48.0,27.0,1019.8,1016.9,,,20.5,28.3,No,No
51.0,2014-02-21,19.7,34.9,0.0,13.8,12.2,E,39.0,ENE,E,19.0,17.0,38.0,20.0,1019.1,1016.1,1.0,1.0,26.3,34.1,No,No
52.0,2012-02-24,17.1,31.7,0.0,,,ENE,24.0,SE,NNW,2.0,4.0,78.0,33.0,,,,,22.6,31.1,No,No
53.0,2008-12-28,10.9,29.5,0.0,7.2,,W,46.0,WNW,WNW,15.0,30.0,49.0,25.0,1004.8,1002.7,1.0,2.0,19.8,27.8,No,No
54.0,2013-03-16,23.4,37.4,1.0,9.0,,SE,63.0,WNW,S,11.0,9.0,68.0,,1012.1,1008.1,0.0,2.0,29.0,36.1,No,Yes
55.0,2011-06-19,10.7,15.9,0.2,1.4,2.2,NNW,54.0,N,N,13.0,20.0,82.0,69.0,1013.7,1009.7,7.0,6.0,11.7,14.6,No,No
56.0,2012-10-30,14.2,19.3,1.4,6.6,6.6,SSE,39.0,SSE,SSE,22.0,24.0,75.0,66.0,1016.7,1015.8,7.0,7.0,17.1,17.4,Yes,No
57.0,2011-11-04,7.3,24.0,0.0,1.4,11.6,NE,22.0,E,NNE,13.0,13.0,69.0,33.0,1020.5,1016.6,2.0,1.0,14.4,23.0,No,No
58.0,2015-08-16,10.7,20.2,0.0,,,NNE,37.0,W,NE,11.0,20.0,81.0,70.0,1027.3,1021.7,,,14.4,18.0,No,No
59.0,2014-04-26,10.1,20.9,0.0,2.4,,WSW,41.0,NW,SSW,11.0,20.0,62.0,64.0,1013.3,1014.2,,3.0,17.0,16.5,No,No
60.0,2011-10-10,7.8,23.4,0.0,,,SSE,31.0,E,NE,11.0,13.0,60.0,27.0,,,,,14.6,23.1,No,No
61.0,2013-06-16,7.0,12.5,4.6,1.2,2.1,SSW,39.0,W,SW,11.0,19.0,90.0,86.0,1020.6,1017.9,4.0,5.0,8.9,10.7,Yes,Yes
62.0,2009-04-02,19.7,24.0,29.8,,,NE,46.0,NNE,E,17.0,19.0,93.0,85.0,1022.6,1021.2,,,20.6,23.0,Yes,Yes
63.0,2014-10-08,7.4,17.7,0.2,,,W,52.0,W,WSW,24.0,31.0,73.0,55.0,1019.7,1019.4,1.0,6.0,12.8,16.6,No,No
64.0,2012-07-04,4.8,10.9,0.0,,,S,30.0,S,S,9.0,17.0,80.0,66.0,1030.9,1031.2,0.0,8.0,6.1,9.4,No,No
65.0,2014-11-16,12.8,19.0,22.2,,,WNW,50.0,WNW,W,17.0,26.0,90.0,57.0,1001.9,1004.1,,,12.8,16.8,Yes,No
66.0,2011-05-16,2.8,20.5,0.0,3.4,10.0,WNW,31.0,WNW,NNW,24.0,13.0,50.0,34.0,1030.4,1025.9,0.0,0.0,10.5,19.8,No,No
67.0,2016-11-17,8.2,22.5,5.0,3.8,13.2,WNW,43.0,S,SW,13.0,28.0,40.0,38.0,1022.8,1020.8,1.0,0.0,17.1,21.2,Yes,No
68.0,2011-02-18,21.8,32.9,0.0,12.6,2.4,WSW,63.0,WNW,NNW,7.0,33.0,54.0,49.0,1007.3,1003.2,6.0,4.0,26.6,30.8,No,Yes
69.0,2012-01-09,12.7,24.6,3.8,,,W,43.0,WNW,W,20.0,28.0,56.0,33.0,1010.1,1009.4,,,16.5,23.3,Yes,No
70.0,2014-12-05,10.5,20.3,0.0,,,SSE,30.0,SE,S,15.0,17.0,70.0,60.0,1019.5,1016.2,,,15.0,18.9,No,No
71.0,2014-06-27,11.5,17.1,0.0,1.8,,NW,72.0,N,NNW,24.0,26.0,56.0,49.0,1008.1,1001.2,,,13.2,15.9,No,Yes
72.0,2013-12-10,9.3,19.8,0.0,,,SSE,35.0,SSE,SSE,13.0,19.0,63.0,61.0,1022.3,1020.4,,,17.5,18.2,No,No
73.0,2009-05-17,7.8,18.6,0.0,,,SSW,48.0,S,SW,4.0,13.0,43.0,31.0,1011.8,1015.4,,,15.4,17.6,No,No
74.0,2015-07-01,14.0,22.2,0.0,,,NE,19.0,W,E,7.0,13.0,99.0,63.0,1024.1,1020.5,,,17.9,20.5,No,No
75.0,2010-03-21,14.8,24.5,0.0,5.4,,SW,46.0,WNW,WSW,7.0,31.0,62.0,33.0,1020.3,1020.2,4.0,5.0,17.1,22.3,No,No
76.0,2009-02-19,,,,8.6,12.1,,,,,,,,,,,,,,,No,No
